JOFRA;Droite;Toit;Porte;Fenêtre;Gauche;Sol;Air haut;Air;Air bas;Temp Indoor;Temp Outdoor
0;0,72;0,81;0,4;0,31;0,55;0,7;0,14;0,81;0,25;2,568;2,447
0;0,72;0,83;0,39;0,31;0,55;0,7;0,13;0,83;0,23;2,56;2,467
0;0,73;0,81;0,41;0,32;0,57;0,7;0,13;0,84;0,23;2,627;2,509
0;0,73;0,81;0,41;0,32;0,55;0,69;0,16;0,87;0,23;2,65;2,53
0;0,73;0,82;0,43;0,32;0,55;0,71;0,17;0,89;0,24;2,68;2,56
0;0,73;0,82;0,42;0,32;0,57;0,7;0,18;0,89;0,24;2,73;2,61
0;0,72;0,83;0,43;0,32;0,56;0,71;0,19;0,91;0,24;2,77;2,64
0;0,73;0,83;0,42;0,31;0,56;0,7;0,2;0,93;0,25;2,79;2,66
0;0,73;0,84;0,43;0,33;0,57;0,71;0,22;0,93;0,25;2,82;2,7
0;0,73;0,83;0,43;0,33;0,55;0,69;0,22;0,94;0,25;2,85;2,73
0;0,73;0,83;0,43;0,33;0,56;0,7;0,23;0,95;0,24;2,88;2,75
10;10,55;10,65;10,23;10,09;10,36;10,5;10,14;10,61;10,2;12,75;12,67
10;10,55;10,66;10,24;10,1;10,36;10,52;10,14;10,61;10,2;12,73;12,63
10;10,55;10,67;10,24;10,1;10,36;10,5;10,14;10,62;10,21;12,71;12,61
10;10,54;10,66;10,25;10,11;10,36;10,49;10,14;10,61;10,2;12,69;12,6
10;10,54;10,67;10,24;10,1;10,36;10,49;10,14;10,61;10,21;12,68;12,58
10;10,53;10,66;10,24;10,11;10,38;10,51;10,14;10,62;10,22;12,67;12,58
10;10,54;10,66;10,23;10,11;10,36;10,5;10,13;10,6;10,21;12,66;12,56
10;10,54;10,65;10,23;10,1;10,36;10,5;10,14;10,61;10,22;12,64;12,55
10;10,55;10,66;10,24;10,12;10,37;10,51;10,14;10,61;10,22;12,63;12,53
10;10,54;10,66;10,25;10,1;10,36;10,5;10,14;10,61;10,23;12,62;12,53
10;10,54;10,65;10,24;10,11;10,36;10,5;10,14;10,61;10,23;12,6;12,5
20;20,4;20,51;20,09;19,94;20,22;20,35;20,19;20,47;20,28;22,36;22,27
20;20,4;20,52;20,09;19,94;20,22;20,35;20,19;20,47;20,28;22,35;22,25
20;20,41;20,51;20,1;19,94;20,22;20,36;20,19;20,47;20,28;22,32;22,24
20;20,41;20,51;20,1;19,93;20,21;20,36;20,19;20,48;20,28;22,3;22,22
20;20,4;20,52;20,09;19,92;20,21;20,35;20,2;20,48;20,28;22,28;22,2
20;20,4;20,52;20,09;19,93;20,22;20,35;20,2;20,49;20,28;22,26;22,18
20;20,41;20,51;20,08;19,93;20,22;20,36;20,19;20,48;20,28;22,24;22,16
20;20,41;20,52;20,08;19,95;20,22;20,37;20,2;20,5;20,28;22,23;22,15
20;20,42;20,51;20,08;19,93;20,23;20,37;20,21;20,5;20,3;22,21;22,13
20;20,41;20,5;20,08;19,93;20,22;20,36;20,19;20,49;20,28;22,19;22,1
20;20,42;20,5;20,08;19,93;20,22;20,36;20,2;20,49;20,29;22,16;22,07
30;30,31;30,35;29,91;29,78;30,09;30,23;30,28;30,36;30,35;32,05;32
30;30,31;30,35;29,9;29,78;30,09;30,24;30,28;30,37;30,35;31,98;31,92
30;30,3;30,35;29,91;29,78;30,09;30,22;30,29;30,37;30,36;31,9;31,85
30;30,3;30,34;29,92;29,78;30,1;30,24;30,31;30,39;30,37;31,83;31,78
30;30,33;30,36;29,93;29,79;30,11;30,27;30,34;30,43;30,41;31,75;31,71
30;30,35;30,37;29,93;29,81;30,13;30,29;30,33;30,44;30,41;31,7;31,64
30;30,37;30,39;29,95;29,83;30,16;30,32;30,34;30,44;30,41;31,65;31,6
30;30,41;30,4;29,96;29,95;30,18;30,35;30,33;30,44;30,4;31,62;31,55
30;30,42;30,4;29,97;29,86;30,21;30,37;30,33;30,43;30,4;31,58;31,52
30;30,47;30,41;29,98;29,88;30,23;30,39;30,33;30,43;30,39;31,53;31,48
30;30,47;30,39;29,99;29,89;30,25;30,41;30,32;30,42;30,38;31,5;31,43
40;40,09;40,14;39,75;39,56;39,87;40;40,3;40,24;40,4;40,51;40,45
40;40,05;40,14;39,75;39,56;39,88;40;40,3;40,24;40,4;40,45;40,4
40;40,07;40,14;39,76;39,56;39,87;40;40,3;40,24;40,4;40,41;40,35
40;40,06;40,14;39,74;39,55;39,88;40;40,3;40,24;40,4;40,36;40,31
40;40,07;40,16;39,76;39,56;39,87;40,01;40,3;40,24;40,4;40,32;40,27
40;40,07;40,16;39,77;39,56;39,89;40,01;40,3;40,24;40,4;40,29;40,24
40;40,08;40,14;39,76;39,56;39,87;40,01;40,3;40,24;40,4;40,26;40,2
40;40,08;40,16;39,77;39,57;39,89;40,01;40,29;40,23;40,39;40,24;40,18
40;40,09;40,16;39,77;39,57;39,91;40,03;40,29;40,23;40,38;40,23;40,17
40;40,09;40,17;39,77;39,58;39,91;40,03;40,28;40,22;40,38;40,21;40,15
40;40,09;40,15;39,78;39,59;39,91;40,04;40,28;40,22;40,37;40,2;40,14
