Sensor	Slope	Offset	R2	Max_Residual	Uncertainty_2sigma
Right wall (Est)	1.0149815224943488	-0.7303516996145798	0.9999874772756823	0.09186900711381085	0.07681528773461735
Ceiling	1.0165774250401918	-0.8437186907650075	0.9999979713990823	0.03343435288758201	0.06305165139630828
Door	1.0163724582965274	-0.4183683021999986	0.9999996219683324	0.012747074160120775	0.06438150753435866
Window*	1.0181548003559808	-0.3129287433202561	0.9999946210987224	0.05862895129865109	0.07346390579424333
Left wall (West)	1.0158112835009896	-0.5550336681228513	0.9999923314224702	0.07075306462879993	0.07448707248202317
Floor	1.015995354029072	-0.70118242798433	0.9999888090424139	0.08624769551663292	0.078300628539955
Air top	0.995927975427643	-0.14255276411721546	0.9999931723455251	0.05036189457464246	0.06590872727172406
Air center	1.015328937403664	-0.840641769147601	0.9999882401858013	0.06707871698799472	0.0695084036776718
Air bottom	0.9952725875853923	-0.20692886642008596	0.9999956084101159	0.04157657412746474	0.06280959025578141
Temp. surf. indoor	1.0601879062037072	-3.261968372890515	0.9992945681001161	0.5190472235068668	0.1462263161581726
Temp. surf. outdoor	1.0582971211038066	-3.1334707043347954	0.9992768527481387	0.5264286086955465	0.14873429634449215
